# Synthetic (no-IRF) TCSPC decays at each unfolded fraction step
# Gaussian (folded): R_mean=35.0 Å, sigma=4.0 Å
# WLC (unfolded):    Lc=80.0 Å, Lp=60.0 Å
# tau_D0=4.00 ns, R0=52.0 Å
# Time axis: 256 channels over 25.0 ns
# Columns: time_ns  decay(f=0.00)  decay(f=0.05) ...
time_ns	decay(f=0.00)	decay(f=0.05)	decay(f=0.10)	decay(f=0.15)	decay(f=0.20)	decay(f=0.25)	decay(f=0.30)	decay(f=0.35)	decay(f=0.40)	decay(f=0.45)	decay(f=0.50)	decay(f=0.55)	decay(f=0.60)	decay(f=0.65)	decay(f=0.70)	decay(f=0.75)	decay(f=0.80)	decay(f=0.85)	decay(f=0.90)	decay(f=0.95)	decay(f=1.00)
9.21568627	0.00000206	0.00018762	0.00032869	0.00043956	0.00052899	0.00060265	0.00066437	0.00071684	0.00076200	0.00080127	0.00083573	0.00086622	0.00089339	0.00091774	0.00093970	0.00095961	0.00097773	0.00099430	0.00100951	0.00102351	0.00103646
9.31372549	0.00000191	0.00018119	0.00031750	0.00042462	0.00051103	0.00058220	0.00064184	0.00069254	0.00073618	0.00077412	0.00080742	0.00083688	0.00086312	0.00088666	0.00090788	0.00092711	0.00094462	0.00096063	0.00097532	0.00098886	0.00100136
9.41176471	0.00000176	0.00017500	0.00030670	0.00041021	0.00049371	0.00056248	0.00062011	0.00066910	0.00071125	0.00074792	0.00078009	0.00080856	0.00083392	0.00085666	0.00087716	0.00089575	0.00091266	0.00092813	0.00094233	0.00095541	0.00096749
9.50980392	0.00000163	0.00016902	0.00029629	0.00039631	0.00047699	0.00054344	0.00059913	0.00064647	0.00068720	0.00072263	0.00075372	0.00078123	0.00080574	0.00082771	0.00084752	0.00086548	0.00088183	0.00089677	0.00091049	0.00092313	0.00093481
9.60784314	0.00000150	0.00016326	0.00028624	0.00038290	0.00046086	0.00052507	0.00057888	0.00062463	0.00066399	0.00069823	0.00072827	0.00075485	0.00077853	0.00079977	0.00081891	0.00083626	0.00085206	0.00086651	0.00087976	0.00089197	0.00090326
9.70588235	0.00000139	0.00015771	0.00027655	0.00036995	0.00044529	0.00050735	0.00055935	0.00060355	0.00064159	0.00067467	0.00070371	0.00072939	0.00075228	0.00077280	0.00079130	0.00080806	0.00082333	0.00083729	0.00085010	0.00086190	0.00087281
9.80392157	0.00000128	0.00015235	0.00026720	0.00035746	0.00043027	0.00049023	0.00054049	0.00058321	0.00061997	0.00065194	0.00068000	0.00070482	0.00072693	0.00074676	0.00076464	0.00078085	0.00079560	0.00080909	0.00082147	0.00083287	0.00084341
9.90196078	0.00000119	0.00014718	0.00025817	0.00034540	0.00041576	0.00047372	0.00052228	0.00056357	0.00059910	0.00062999	0.00065711	0.00068110	0.00070247	0.00072163	0.00073891	0.00075457	0.00076883	0.00078187	0.00079383	0.00080485	0.00081504
10.00000000	0.00000110	0.00014219	0.00024946	0.00033376	0.00040177	0.00045778	0.00050471	0.00054461	0.00057895	0.00060881	0.00063502	0.00065820	0.00067885	0.00069737	0.00071407	0.00072921	0.00074299	0.00075559	0.00076715	0.00077780	0.00078764
10.09803922	0.00000102	0.00013738	0.00024105	0.00032253	0.00038825	0.00044239	0.00048775	0.00052631	0.00055950	0.00058836	0.00061369	0.00063609	0.00065606	0.00067396	0.00069009	0.00070472	0.00071804	0.00073022	0.00074139	0.00075169	0.00076120
10.19607843	0.00000094	0.00013274	0.00023294	0.00031169	0.00037521	0.00042753	0.00047138	0.00050865	0.00054072	0.00056861	0.00059309	0.00061475	0.00063404	0.00065134	0.00066694	0.00068108	0.00069395	0.00070572	0.00071652	0.00072647	0.00073567
10.29411765	0.00000087	0.00012826	0.00022511	0.00030122	0.00036262	0.00041319	0.00045557	0.00049159	0.00052259	0.00054955	0.00057321	0.00059414	0.00061279	0.00062951	0.00064459	0.00065826	0.00067070	0.00068207	0.00069251	0.00070213	0.00071102
10.39215686	0.00000081	0.00012394	0.00021755	0.00029112	0.00035046	0.00039934	0.00044030	0.00047512	0.00050509	0.00053115	0.00055402	0.00057425	0.00059227	0.00060844	0.00062301	0.00063622	0.00064824	0.00065924	0.00066933	0.00067862	0.00068721
10.49019608	0.00000075	0.00011976	0.00021025	0.00028136	0.00033873	0.00038597	0.00042557	0.00045922	0.00048819	0.00051338	0.00053548	0.00055504	0.00057246	0.00058808	0.00060217	0.00061494	0.00062656	0.00063719	0.00064694	0.00065593	0.00066423
10.58823529	0.00000069	0.00011574	0.00020320	0.00027195	0.00032739	0.00037306	0.00041134	0.00044387	0.00047187	0.00049621	0.00051758	0.00053649	0.00055333	0.00056843	0.00058205	0.00059439	0.00060562	0.00061590	0.00062533	0.00063401	0.00064204
10.68627451	0.00000064	0.00011185	0.00019640	0.00026285	0.00031645	0.00036060	0.00039759	0.00042904	0.00045611	0.00047964	0.00050030	0.00051857	0.00053485	0.00054945	0.00056261	0.00057454	0.00058540	0.00059533	0.00060445	0.00061284	0.00062060
10.78431373	0.00000060	0.00010810	0.00018983	0.00025407	0.00030588	0.00034856	0.00038433	0.00041473	0.00044089	0.00046364	0.00048361	0.00050127	0.00051701	0.00053112	0.00054385	0.00055538	0.00056588	0.00057548	0.00058429	0.00059241	0.00059990
10.88235294	0.00000055	0.00010448	0.00018349	0.00024559	0.00029568	0.00033694	0.00037151	0.00040090	0.00042619	0.00044819	0.00046749	0.00048457	0.00049978	0.00051342	0.00052572	0.00053687	0.00054702	0.00055630	0.00056482	0.00057267	0.00057992
10.98039216	0.00000051	0.00010098	0.00017737	0.00023740	0.00028583	0.00032571	0.00035913	0.00038755	0.00041200	0.00043326	0.00045192	0.00046843	0.00048314	0.00049633	0.00050822	0.00051900	0.00052881	0.00053778	0.00054602	0.00055360	0.00056061
11.07843137	0.00000048	0.00009761	0.00017146	0.00022949	0.00027631	0.00031487	0.00034718	0.00037465	0.00039829	0.00041885	0.00043689	0.00045285	0.00046707	0.00047982	0.00049131	0.00050173	0.00051122	0.00051989	0.00052785	0.00053519	0.00054196
11.17647059	0.00000044	0.00009435	0.00016575	0.00022186	0.00026712	0.00030440	0.00033564	0.00036219	0.00038505	0.00040492	0.00042236	0.00043779	0.00045154	0.00046387	0.00047498	0.00048506	0.00049423	0.00050261	0.00051031	0.00051740	0.00052395
11.27450980	0.00000041	0.00009120	0.00016023	0.00021448	0.00025824	0.00029428	0.00032449	0.00035016	0.00037226	0.00039147	0.00040834	0.00042326	0.00043655	0.00044847	0.00045921	0.00046895	0.00047782	0.00048593	0.00049337	0.00050022	0.00050655
11.37254902	0.00000038	0.00008816	0.00015490	0.00020736	0.00024967	0.00028451	0.00031372	0.00033854	0.00035990	0.00037848	0.00039479	0.00040921	0.00042206	0.00043359	0.00044398	0.00045339	0.00046196	0.00046980	0.00047700	0.00048363	0.00048975
11.47058824	0.00000035	0.00008523	0.00014976	0.00020047	0.00024138	0.00027508	0.00030331	0.00032731	0.00034797	0.00036593	0.00038170	0.00039564	0.00040807	0.00041921	0.00042926	0.00043836	0.00044665	0.00045423	0.00046119	0.00046759	0.00047352
11.56862745	0.00000033	0.00008240	0.00014479	0.00019383	0.00023338	0.00026596	0.00029326	0.00031647	0.00033644	0.00035381	0.00036905	0.00038254	0.00039455	0.00040533	0.00041504	0.00042384	0.00043186	0.00043919	0.00044591	0.00045211	0.00045783
11.66666667	0.00000030	0.00007966	0.00013999	0.00018741	0.00022565	0.00025715	0.00028355	0.00030599	0.00032531	0.00034210	0.00035684	0.00036988	0.00038150	0.00039191	0.00040130	0.00040982	0.00041757	0.00042465	0.00043116	0.00043715	0.00044268
11.76470588	0.00000028	0.00007702	0.00013535	0.00018120	0.00021819	0.00024865	0.00027417	0.00029587	0.00031455	0.00033079	0.00034504	0.00035765	0.00036888	0.00037895	0.00038803	0.00039626	0.00040376	0.00041061	0.00041690	0.00042269	0.00042804
11.86274510	0.00000026	0.00007446	0.00013087	0.00017521	0.00021097	0.00024043	0.00026511	0.00028609	0.00030415	0.00031985	0.00033364	0.00034583	0.00035669	0.00036643	0.00037521	0.00038317	0.00039042	0.00039704	0.00040312	0.00040873	0.00041390
11.96078431	0.00000024	0.00007200	0.00012655	0.00016942	0.00020400	0.00023249	0.00025636	0.00027665	0.00029411	0.00030929	0.00032262	0.00033441	0.00034491	0.00035433	0.00036282	0.00037052	0.00037753	0.00038394	0.00038982	0.00039523	0.00040024
12.05882353	0.00000023	0.00006961	0.00012237	0.00016383	0.00019727	0.00022481	0.00024790	0.00026752	0.00028440	0.00029909	0.00031198	0.00032338	0.00033354	0.00034264	0.00035086	0.00035830	0.00036507	0.00037127	0.00037696	0.00038220	0.00038704
12.15686275	0.00000021	0.00006731	0.00011833	0.00015842	0.00019076	0.00021740	0.00023972	0.00025870	0.00027503	0.00028923	0.00030169	0.00031272	0.00032254	0.00033135	0.00033929	0.00034649	0.00035304	0.00035903	0.00036453	0.00036960	0.00037428
12.25490196	0.00000020	0.00006509	0.00011443	0.00015320	0.00018448	0.00021024	0.00023182	0.00025017	0.00026597	0.00027970	0.00029175	0.00030242	0.00031192	0.00032043	0.00032811	0.00033508	0.00034141	0.00034721	0.00035253	0.00035743	0.00036195
12.35294118	0.00000018	0.00006294	0.00011065	0.00014815	0.00017840	0.00020332	0.00022419	0.00024194	0.00025721	0.00027049	0.00028215	0.00029246	0.00030165	0.00030989	0.00031732	0.00032405	0.00033018	0.00033578	0.00034092	0.00034566	0.00035004
12.45098039	0.00000017	0.00006087	0.00010701	0.00014328	0.00017253	0.00019663	0.00021682	0.00023398	0.00024875	0.00026160	0.00027287	0.00028284	0.00029173	0.00029970	0.00030688	0.00031339	0.00031932	0.00032474	0.00032971	0.00033430	0.00033853
12.54901961	0.00000016	0.00005886	0.00010349	0.00013857	0.00016686	0.00019016	0.00020969	0.00022629	0.00024058	0.00025300	0.00026390	0.00027355	0.00028214	0.00028985	0.00029680	0.00030309	0.00030883	0.00031407	0.00031888	0.00032331	0.00032740
12.64705882	0.00000015	0.00005692	0.00010009	0.00013401	0.00016138	0.00018392	0.00020280	0.00021886	0.00023268	0.00024469	0.00025524	0.00026457	0.00027288	0.00028033	0.00028705	0.00029314	0.00029868	0.00030375	0.00030841	0.00031269	0.00031665
12.74509804	0.00000014	0.00005505	0.00009680	0.00012961	0.00015608	0.00017788	0.00019615	0.00021168	0.00022504	0.00023666	0.00024686	0.00025588	0.00026392	0.00027113	0.00027763	0.00028352	0.00028888	0.00029379	0.00029829	0.00030243	0.00030626
12.84313725	0.00000013	0.00005324	0.00009362	0.00012536	0.00015096	0.00017204	0.00018971	0.00020473	0.00021766	0.00022890	0.00023877	0.00024749	0.00025527	0.00026224	0.00026853	0.00027422	0.00027941	0.00028415	0.00028851	0.00029252	0.00029622
12.94117647	0.00000012	0.00005149	0.00009055	0.00012125	0.00014601	0.00016641	0.00018350	0.00019802	0.00021053	0.00022140	0.00023094	0.00023938	0.00024690	0.00025365	0.00025973	0.00026524	0.00027026	0.00027484	0.00027905	0.00028293	0.00028652
13.03921569	0.00000011	0.00004980	0.00008759	0.00011728	0.00014123	0.00016096	0.00017749	0.00019154	0.00020363	0.00021415	0.00022338	0.00023154	0.00023882	0.00024534	0.00025122	0.00025655	0.00026141	0.00026584	0.00026992	0.00027367	0.00027714
13.13725490	0.00000010	0.00004817	0.00008472	0.00011344	0.00013661	0.00015569	0.00017168	0.00018527	0.00019697	0.00020714	0.00021607	0.00022397	0.00023101	0.00023731	0.00024300	0.00024816	0.00025285	0.00025715	0.00026109	0.00026471	0.00026807
13.23529412	0.00000010	0.00004659	0.00008194	0.00010973	0.00013214	0.00015060	0.00016606	0.00017921	0.00019053	0.00020037	0.00020900	0.00021664	0.00022345	0.00022955	0.00023506	0.00024005	0.00024459	0.00024874	0.00025255	0.00025606	0.00025930
13.33333333	0.00000009	0.00004507	0.00007926	0.00010614	0.00012782	0.00014567	0.00016064	0.00017336	0.00018430	0.00019382	0.00020217	0.00020957	0.00021615	0.00022205	0.00022738	0.00023220	0.00023660	0.00024061	0.00024430	0.00024769	0.00025083
13.43137255	0.00000008	0.00004359	0.00007667	0.00010267	0.00012364	0.00014092	0.00015539	0.00016769	0.00017828	0.00018749	0.00019557	0.00020272	0.00020909	0.00021480	0.00021995	0.00022462	0.00022887	0.00023276	0.00023632	0.00023961	0.00024264
13.52941176	0.00000008	0.00004217	0.00007417	0.00009932	0.00011961	0.00013632	0.00015032	0.00016222	0.00017247	0.00018137	0.00018919	0.00019611	0.00020227	0.00020779	0.00021278	0.00021729	0.00022140	0.00022516	0.00022861	0.00023179	0.00023472
13.62745098	0.00000007	0.00004079	0.00007175	0.00009608	0.00011571	0.00013187	0.00014542	0.00015693	0.00016684	0.00017546	0.00018302	0.00018971	0.00019567	0.00020102	0.00020584	0.00021021	0.00021418	0.00021782	0.00022116	0.00022423	0.00022707
13.72549020	0.00000007	0.00003946	0.00006941	0.00009295	0.00011193	0.00012757	0.00014068	0.00015182	0.00016140	0.00016974	0.00017706	0.00018353	0.00018930	0.00019447	0.00019913	0.00020336	0.00020720	0.00021072	0.00021395	0.00021692	0.00021967
13.82352941	0.00000006	0.00003817	0.00006715	0.00008992	0.00010829	0.00012342	0.00013610	0.00014687	0.00015615	0.00016421	0.00017129	0.00017755	0.00018313	0.00018813	0.00019265	0.00019673	0.00020046	0.00020386	0.00020698	0.00020986	0.00021252
13.92156863	0.00000006	0.00003693	0.00006496	0.00008699	0.00010476	0.00011940	0.00013167	0.00014209	0.00015106	0.00015887	0.00016572	0.00017177	0.00017717	0.00018201	0.00018638	0.00019033	0.00019393	0.00019722	0.00020025	0.00020303	0.00020560
14.01960784	0.00000006	0.00003573	0.00006285	0.00008416	0.00010135	0.00011552	0.00012738	0.00013747	0.00014615	0.00015370	0.00016033	0.00016619	0.00017141	0.00017609	0.00018031	0.00018414	0.00018762	0.00019081	0.00019373	0.00019643	0.00019892
14.11764706	0.00000005	0.00003456	0.00006080	0.00008143	0.00009806	0.00011176	0.00012324	0.00013300	0.00014140	0.00014870	0.00015512	0.00016079	0.00016584	0.00017037	0.00017445	0.00017816	0.00018153	0.00018461	0.00018744	0.00019004	0.00019245
14.21568627	0.00000005	0.00003344	0.00005883	0.00007878	0.00009487	0.00010813	0.00011924	0.00012868	0.00013681	0.00014387	0.00015008	0.00015556	0.00016045	0.00016484	0.00016879	0.00017237	0.00017563	0.00017861	0.00018135	0.00018387	0.00018620
14.31372549	0.00000005	0.00003235	0.00005692	0.00007622	0.00009179	0.00010462	0.00011537	0.00012450	0.00013237	0.00013920	0.00014520	0.00015051	0.00015524	0.00015948	0.00016331	0.00016677	0.00016993	0.00017281	0.00017546	0.00017790	0.00018015
14.41176471	0.00000004	0.00003130	0.00005507	0.00007375	0.00008881	0.00010122	0.00011162	0.00012046	0.00012807	0.00013469	0.00014049	0.00014563	0.00015021	0.00015431	0.00015801	0.00016136	0.00016442	0.00016721	0.00016977	0.00017213	0.00017431
14.50980392	0.00000004	0.00003029	0.00005328	0.00007136	0.00008593	0.00009794	0.00010800	0.00011656	0.00012392	0.00013032	0.00013594	0.00014091	0.00014534	0.00014931	0.00015289	0.00015613	0.00015909	0.00016179	0.00016427	0.00016655	0.00016866
14.60784314	0.00000004	0.00002930	0.00005156	0.00006904	0.00008315	0.00009477	0.00010450	0.00011278	0.00011990	0.00012610	0.00013153	0.00013634	0.00014063	0.00014447	0.00014793	0.00015107	0.00015393	0.00015654	0.00015894	0.00016115	0.00016319
14.70588235	0.00000003	0.00002835	0.00004989	0.00006681	0.00008046	0.00009170	0.00010112	0.00010913	0.00011602	0.00012201	0.00012727	0.00013193	0.00013607	0.00013979	0.00014314	0.00014618	0.00014895	0.00015148	0.00015380	0.00015593	0.00015791
14.80392157	0.00000003	0.00002744	0.00004827	0.00006464	0.00007785	0.00008873	0.00009785	0.00010560	0.00011227	0.00011807	0.00012316	0.00012766	0.00013167	0.00013527	0.00013851	0.00014145	0.00014413	0.00014657	0.00014882	0.00015089	0.00015280
14.90196078	0.00000003	0.00002655	0.00004671	0.00006255	0.00007533	0.00008586	0.00009468	0.00010218	0.00010863	0.00011425	0.00011917	0.00012353	0.00012741	0.00013089	0.00013403	0.00013687	0.00013946	0.00014183	0.00014401	0.00014601	0.00014786
15.00000000	0.00000003	0.00002569	0.00004520	0.00006053	0.00007290	0.00008309	0.00009162	0.00009888	0.00010512	0.00011055	0.00011532	0.00011954	0.00012329	0.00012666	0.00012970	0.00013245	0.00013496	0.00013725	0.00013935	0.00014129	0.00014308
15.09803922	0.00000003	0.00002486	0.00004374	0.00005857	0.00007054	0.00008040	0.00008866	0.00009568	0.00010173	0.00010698	0.00011159	0.00011567	0.00011931	0.00012257	0.00012551	0.00012817	0.00013060	0.00013281	0.00013485	0.00013672	0.00013846
15.19607843	0.00000002	0.00002406	0.00004232	0.00005668	0.00006826	0.00007780	0.00008580	0.00009259	0.00009844	0.00010353	0.00010799	0.00011194	0.00011546	0.00011861	0.00012146	0.00012403	0.00012638	0.00012853	0.00013050	0.00013231	0.00013399
15.29411765	0.00000002	0.00002328	0.00004096	0.00005485	0.00006606	0.00007529	0.00008303	0.00008961	0.00009526	0.00010019	0.00010451	0.00010833	0.00011173	0.00011478	0.00011754	0.00012003	0.00012230	0.00012438	0.00012628	0.00012804	0.00012966
15.39215686	0.00000002	0.00002253	0.00003964	0.00005308	0.00006393	0.00007286	0.00008035	0.00008672	0.00009219	0.00009696	0.00010114	0.00010483	0.00010813	0.00011108	0.00011375	0.00011616	0.00011836	0.00012037	0.00012221	0.00012391	0.00012548
15.49019608	0.00000002	0.00002180	0.00003836	0.00005137	0.00006187	0.00007052	0.00007776	0.00008392	0.00008922	0.00009383	0.00009788	0.00010145	0.00010464	0.00010750	0.00011008	0.00011242	0.00011454	0.00011649	0.00011827	0.00011992	0.00012144
15.58823529	0.00000002	0.00002110	0.00003712	0.00004972	0.00005988	0.00006824	0.00007526	0.00008122	0.00008635	0.00009081	0.00009472	0.00009819	0.00010127	0.00010404	0.00010653	0.00010879	0.00011085	0.00011274	0.00011446	0.00011605	0.00011752
15.68627451	0.00000002	0.00002042	0.00003593	0.00004812	0.00005795	0.00006605	0.00007283	0.00007860	0.00008357	0.00008788	0.00009167	0.00009502	0.00009801	0.00010069	0.00010310	0.00010529	0.00010728	0.00010911	0.00011078	0.00011232	0.00011374
15.78431373	0.00000002	0.00001976	0.00003477	0.00004657	0.00005608	0.00006392	0.00007049	0.00007607	0.00008088	0.00008506	0.00008872	0.00009197	0.00009486	0.00009745	0.00009979	0.00010190	0.00010383	0.00010559	0.00010721	0.00010870	0.00011008
15.88235294	0.00000002	0.00001912	0.00003365	0.00004507	0.00005428	0.00006187	0.00006822	0.00007363	0.00007828	0.00008232	0.00008587	0.00008901	0.00009181	0.00009431	0.00009658	0.00009863	0.00010049	0.00010220	0.00010376	0.00010521	0.00010654
15.98039216	0.00000001	0.00001851	0.00003257	0.00004362	0.00005253	0.00005988	0.00006603	0.00007126	0.00007576	0.00007967	0.00008311	0.00008615	0.00008886	0.00009128	0.00009347	0.00009546	0.00009726	0.00009891	0.00010043	0.00010183	0.00010312
16.07843137	0.00000001	0.00001791	0.00003152	0.00004222	0.00005085	0.00005795	0.00006391	0.00006897	0.00007333	0.00007711	0.00008044	0.00008338	0.00008600	0.00008835	0.00009047	0.00009239	0.00009414	0.00009574	0.00009720	0.00009855	0.00009980
16.17647059	0.00000001	0.00001734	0.00003051	0.00004086	0.00004921	0.00005609	0.00006186	0.00006675	0.00007097	0.00007464	0.00007786	0.00008070	0.00008324	0.00008551	0.00008756	0.00008942	0.00009111	0.00009266	0.00009408	0.00009539	0.00009660
16.27450980	0.00000001	0.00001678	0.00002953	0.00003955	0.00004763	0.00005429	0.00005987	0.00006461	0.00006869	0.00007224	0.00007536	0.00007811	0.00008057	0.00008277	0.00008475	0.00008655	0.00008819	0.00008969	0.00009106	0.00009233	0.00009350
16.37254902	0.00000001	0.00001624	0.00002858	0.00003828	0.00004611	0.00005255	0.00005795	0.00006254	0.00006649	0.00006992	0.00007294	0.00007561	0.00007798	0.00008011	0.00008204	0.00008378	0.00008536	0.00008681	0.00008814	0.00008937	0.00009050
16.47058824	0.00000001	0.00001572	0.00002767	0.00003706	0.00004463	0.00005086	0.00005609	0.00006053	0.00006436	0.00006768	0.00007060	0.00007318	0.00007548	0.00007755	0.00007940	0.00008109	0.00008262	0.00008403	0.00008532	0.00008650	0.00008760
16.56862745	0.00000001	0.00001522	0.00002678	0.00003587	0.00004320	0.00004923	0.00005429	0.00005859	0.00006230	0.00006551	0.00006834	0.00007084	0.00007306	0.00007506	0.00007686	0.00007849	0.00007998	0.00008134	0.00008258	0.00008373	0.00008479
16.66666667	0.00000001	0.00001473	0.00002592	0.00003472	0.00004181	0.00004766	0.00005255	0.00005672	0.00006030	0.00006342	0.00006615	0.00006857	0.00007072	0.00007266	0.00007440	0.00007598	0.00007742	0.00007873	0.00007994	0.00008105	0.00008208
16.76470588	0.00000001	0.00001426	0.00002509	0.00003361	0.00004048	0.00004613	0.00005087	0.00005490	0.00005837	0.00006139	0.00006403	0.00006637	0.00006846	0.00007033	0.00007202	0.00007355	0.00007494	0.00007621	0.00007738	0.00007845	0.00007945
16.86274510	0.00000001	0.00001380	0.00002429	0.00003253	0.00003918	0.00004466	0.00004924	0.00005315	0.00005650	0.00005942	0.00006198	0.00006425	0.00006627	0.00006808	0.00006971	0.00007119	0.00007254	0.00007377	0.00007490	0.00007594	0.00007691
16.96078431	0.00000001	0.00001336	0.00002351	0.00003149	0.00003793	0.00004323	0.00004767	0.00005145	0.00005470	0.00005752	0.00006000	0.00006220	0.00006415	0.00006590	0.00006748	0.00006892	0.00007022	0.00007141	0.00007251	0.00007351	0.00007445
17.05882353	0.00000001	0.00001293	0.00002276	0.00003048	0.00003671	0.00004185	0.00004615	0.00004980	0.00005295	0.00005568	0.00005808	0.00006021	0.00006210	0.00006380	0.00006533	0.00006671	0.00006798	0.00006913	0.00007019	0.00007117	0.00007207
17.15686275	0.00000001	0.00001252	0.00002203	0.00002951	0.00003554	0.00004051	0.00004467	0.00004821	0.00005126	0.00005390	0.00005623	0.00005828	0.00006012	0.00006176	0.00006324	0.00006458	0.00006580	0.00006692	0.00006795	0.00006889	0.00006976
17.25490196	0.00000001	0.00001212	0.00002133	0.00002857	0.00003441	0.00003922	0.00004325	0.00004667	0.00004962	0.00005218	0.00005443	0.00005642	0.00005820	0.00005979	0.00006122	0.00006252	0.00006370	0.00006478	0.00006578	0.00006669	0.00006754
17.35294118	0.00000001	0.00001173	0.00002065	0.00002766	0.00003331	0.00003796	0.00004186	0.00004518	0.00004804	0.00005052	0.00005270	0.00005462	0.00005634	0.00005788	0.00005927	0.00006052	0.00006167	0.00006272	0.00006368	0.00006456	0.00006538
17.45098039	0.00000001	0.00001136	0.00001999	0.00002677	0.00003225	0.00003675	0.00004053	0.00004374	0.00004650	0.00004891	0.00005101	0.00005288	0.00005454	0.00005603	0.00005738	0.00005859	0.00005970	0.00006072	0.00006165	0.00006250	0.00006330
17.54901961	0.00000001	0.00001100	0.00001935	0.00002592	0.00003122	0.00003558	0.00003924	0.00004234	0.00004502	0.00004735	0.00004939	0.00005119	0.00005280	0.00005425	0.00005555	0.00005672	0.00005780	0.00005878	0.00005968	0.00006051	0.00006128
17.64705882	0.00000000	0.00001065	0.00001874	0.00002509	0.00003022	0.00003445	0.00003799	0.00004100	0.00004358	0.00004584	0.00004781	0.00004956	0.00005112	0.00005252	0.00005378	0.00005492	0.00005596	0.00005691	0.00005778	0.00005858	0.00005932
17.74509804	0.00000000	0.00001031	0.00001814	0.00002429	0.00002926	0.00003335	0.00003678	0.00003969	0.00004220	0.00004438	0.00004629	0.00004798	0.00004949	0.00005084	0.00005206	0.00005317	0.00005417	0.00005509	0.00005594	0.00005672	0.00005743
17.84313725	0.00000000	0.00000998	0.00001756	0.00002352	0.00002833	0.00003229	0.00003560	0.00003843	0.00004085	0.00004296	0.00004482	0.00004645	0.00004791	0.00004922	0.00005040	0.00005147	0.00005245	0.00005334	0.00005416	0.00005491	0.00005561
17.94117647	0.00000000	0.00000966	0.00001700	0.00002277	0.00002743	0.00003126	0.00003447	0.00003720	0.00003955	0.00004160	0.00004339	0.00004498	0.00004639	0.00004766	0.00004880	0.00004984	0.00005078	0.00005164	0.00005243	0.00005316	0.00005384
18.03921569	0.00000000	0.00000935	0.00001646	0.00002205	0.00002655	0.00003026	0.00003337	0.00003602	0.00003829	0.00004027	0.00004201	0.00004355	0.00004491	0.00004614	0.00004725	0.00004825	0.00004916	0.00005000	0.00005076	0.00005147	0.00005212
18.13725490	0.00000000	0.00000906	0.00001594	0.00002135	0.00002571	0.00002930	0.00003231	0.00003487	0.00003708	0.00003899	0.00004067	0.00004216	0.00004349	0.00004467	0.00004575	0.00004672	0.00004760	0.00004841	0.00004915	0.00004983	0.00005047
18.23529412	0.00000000	0.00000877	0.00001543	0.00002067	0.00002489	0.00002837	0.00003129	0.00003376	0.00003590	0.00003775	0.00003938	0.00004082	0.00004210	0.00004325	0.00004429	0.00004523	0.00004609	0.00004687	0.00004759	0.00004825	0.00004886
18.33333333	0.00000000	0.00000849	0.00001494	0.00002001	0.00002410	0.00002747	0.00003029	0.00003269	0.00003476	0.00003655	0.00003813	0.00003952	0.00004077	0.00004188	0.00004288	0.00004379	0.00004462	0.00004538	0.00004608	0.00004672	0.00004731
18.43137255	0.00000000	0.00000822	0.00001447	0.00001938	0.00002334	0.00002660	0.00002933	0.00003165	0.00003365	0.00003539	0.00003692	0.00003827	0.00003947	0.00004055	0.00004152	0.00004240	0.00004321	0.00004394	0.00004461	0.00004523	0.00004581
18.52941176	0.00000000	0.00000796	0.00001401	0.00001876	0.00002259	0.00002575	0.00002840	0.00003065	0.00003259	0.00003427	0.00003575	0.00003705	0.00003822	0.00003926	0.00004020	0.00004106	0.00004183	0.00004255	0.00004320	0.00004380	0.00004435
18.62745098	0.00000000	0.00000771	0.00001356	0.00001817	0.00002188	0.00002494	0.00002750	0.00002968	0.00003155	0.00003318	0.00003461	0.00003588	0.00003701	0.00003802	0.00003893	0.00003976	0.00004051	0.00004120	0.00004183	0.00004241	0.00004295
18.72549020	0.00000000	0.00000746	0.00001313	0.00001759	0.00002118	0.00002414	0.00002663	0.00002874	0.00003055	0.00003213	0.00003351	0.00003474	0.00003583	0.00003681	0.00003769	0.00003849	0.00003922	0.00003989	0.00004050	0.00004106	0.00004158
18.82352941	0.00000000	0.00000722	0.00001272	0.00001703	0.00002051	0.00002338	0.00002578	0.00002782	0.00002958	0.00003111	0.00003245	0.00003364	0.00003470	0.00003564	0.00003650	0.00003727	0.00003798	0.00003862	0.00003922	0.00003976	0.00004027
18.92156863	0.00000000	0.00000700	0.00001231	0.00001649	0.00001986	0.00002264	0.00002497	0.00002694	0.00002864	0.00003012	0.00003142	0.00003257	0.00003360	0.00003451	0.00003534	0.00003609	0.00003678	0.00003740	0.00003797	0.00003850	0.00003899
19.01960784	0.00000000	0.00000677	0.00001192	0.00001597	0.00001923	0.00002192	0.00002417	0.00002609	0.00002774	0.00002917	0.00003043	0.00003154	0.00003253	0.00003342	0.00003422	0.00003495	0.00003561	0.00003622	0.00003677	0.00003728	0.00003775
19.11764706	0.00000000	0.00000656	0.00001155	0.00001546	0.00001862	0.00002123	0.00002341	0.00002526	0.00002686	0.00002825	0.00002947	0.00003054	0.00003150	0.00003236	0.00003314	0.00003384	0.00003448	0.00003507	0.00003561	0.00003610	0.00003656
19.21568627	0.00000000	0.00000635	0.00001118	0.00001497	0.00001803	0.00002056	0.00002267	0.00002446	0.00002601	0.00002735	0.00002853	0.00002958	0.00003051	0.00003134	0.00003209	0.00003277	0.00003339	0.00003396	0.00003448	0.00003496	0.00003540
