# Synthetic (no-IRF) TCSPC decays at each unfolded fraction step
# Gaussian (folded): R_mean=35.0 Å, sigma=4.0 Å
# WLC (unfolded):    Lc=80.0 Å, Lp=60.0 Å
# tau_D0=4.00 ns, R0=52.0 Å
# Time axis: 256 channels over 25.0 ns
# Columns: time_ns  decay(f=0.00)  decay(f=0.05) ...
time_ns	decay(f=0.00)	decay(f=0.05)	decay(f=0.10)	decay(f=0.15)	decay(f=0.20)	decay(f=0.25)	decay(f=0.30)	decay(f=0.35)	decay(f=0.40)	decay(f=0.45)	decay(f=0.50)	decay(f=0.55)	decay(f=0.60)	decay(f=0.65)	decay(f=0.70)	decay(f=0.75)	decay(f=0.80)	decay(f=0.85)	decay(f=0.90)	decay(f=0.95)	decay(f=1.00)
2.05882353	0.00331192	0.00549873	0.00716129	0.00846793	0.00952191	0.01039004	0.01111749	0.01173591	0.01226809	0.01273089	0.01313706	0.01349639	0.01381653	0.01410358	0.01436240	0.01459697	0.01481054	0.01500581	0.01518504	0.01535013	0.01550268
2.15686275	0.00287455	0.00502476	0.00665949	0.00794426	0.00898059	0.00983419	0.01054947	0.01115753	0.01168080	0.01213586	0.01253523	0.01288854	0.01320333	0.01348557	0.01374006	0.01397070	0.01418070	0.01437270	0.01454893	0.01471125	0.01486125
2.25490196	0.00250098	0.00460873	0.00621119	0.00747060	0.00848647	0.00932321	0.01002437	0.01062043	0.01113337	0.01157944	0.01197093	0.01231726	0.01262584	0.01290250	0.01315197	0.01337806	0.01358391	0.01377212	0.01394487	0.01410399	0.01425103
2.35294118	0.00218091	0.00424186	0.00580874	0.00704018	0.00803350	0.00885166	0.00953725	0.01012007	0.01062163	0.01105780	0.01144059	0.01177923	0.01208096	0.01235148	0.01259541	0.01281648	0.01301776	0.01320179	0.01337070	0.01352629	0.01367006
2.45098039	0.00190590	0.00391690	0.00544579	0.00664739	0.00761663	0.00841496	0.00908393	0.00965263	0.01014202	0.01056762	0.01094113	0.01127157	0.01156598	0.01182994	0.01206796	0.01228367	0.01248007	0.01265964	0.01282446	0.01297628	0.01311656
2.54901961	0.00166898	0.00362782	0.00511707	0.00628750	0.00723160	0.00800923	0.00866085	0.00921480	0.00969150	0.01010606	0.01046988	0.01079175	0.01107852	0.01133565	0.01156749	0.01177760	0.01196891	0.01214383	0.01230437	0.01245225	0.01258890
2.64705882	0.00146434	0.00336961	0.00481811	0.00595653	0.00687480	0.00763116	0.00826496	0.00880375	0.00926741	0.00967063	0.01002451	0.01033757	0.01061650	0.01086659	0.01109209	0.01129646	0.01148253	0.01165266	0.01180882	0.01195265	0.01208556
2.74509804	0.00128717	0.00313804	0.00454519	0.00565111	0.00654317	0.00727793	0.00789364	0.00841705	0.00886747	0.00925918	0.00960295	0.00990708	0.01017804	0.01042099	0.01064005	0.01083859	0.01101935	0.01118462	0.01133632	0.01147604	0.01160516
2.84313725	0.00113343	0.00292959	0.00429514	0.00536837	0.00623406	0.00694711	0.00754461	0.00805255	0.00848966	0.00886979	0.00920340	0.00949853	0.00976149	0.00999726	0.01020984	0.01040251	0.01057793	0.01073832	0.01088553	0.01102112	0.01114642
2.94117647	0.00099972	0.00274125	0.00406527	0.00510585	0.00594521	0.00663657	0.00721590	0.00770839	0.00813220	0.00850077	0.00882423	0.00911039	0.00936535	0.00959395	0.00980007	0.00998687	0.01015696	0.01031247	0.01045520	0.01058667	0.01070816
3.03921569	0.00088321	0.00257049	0.00385328	0.00486145	0.00567467	0.00634449	0.00690578	0.00738293	0.00779354	0.00815063	0.00846402	0.00874126	0.00898828	0.00920976	0.00940946	0.00959044	0.00975523	0.00990590	0.01004419	0.01017156	0.01028926
3.13725490	0.00078147	0.00241515	0.00365719	0.00463333	0.00542071	0.00606926	0.00661272	0.00707471	0.00747228	0.00781802	0.00812145	0.00838989	0.00862906	0.00884350	0.00903686	0.00921210	0.00937165	0.00951753	0.00965143	0.00977475	0.00988872
3.23529412	0.00069247	0.00227339	0.00347530	0.00441992	0.00518187	0.00580947	0.00633537	0.00678244	0.00716717	0.00750175	0.00779538	0.00805515	0.00828659	0.00849411	0.00868122	0.00885080	0.00900519	0.00914636	0.00927593	0.00939528	0.00950556
3.33333333	0.00061447	0.00214361	0.00330616	0.00421984	0.00495683	0.00556387	0.00607255	0.00650498	0.00687710	0.00720072	0.00748474	0.00773600	0.00795986	0.00816058	0.00834156	0.00850559	0.00865493	0.00879147	0.00891680	0.00903223	0.00913891
3.43137255	0.00054600	0.00202446	0.00314848	0.00403187	0.00474444	0.00533137	0.00582318	0.00624128	0.00660107	0.00691397	0.00718857	0.00743150	0.00764795	0.00784201	0.00801700	0.00817558	0.00831997	0.00845199	0.00857317	0.00868478	0.00878791
3.52941176	0.00048579	0.00191475	0.00300115	0.00385497	0.00454369	0.00511096	0.00558632	0.00599042	0.00633817	0.00664059	0.00690600	0.00714080	0.00735000	0.00753757	0.00770669	0.00785997	0.00799953	0.00812713	0.00824425	0.00835212	0.00845180
3.62745098	0.00043276	0.00181349	0.00286320	0.00368820	0.00435367	0.00490179	0.00536110	0.00575155	0.00608757	0.00637977	0.00663622	0.00686310	0.00706523	0.00724647	0.00740989	0.00755799	0.00769284	0.00781613	0.00792929	0.00803353	0.00812984
3.72549020	0.00038599	0.00171976	0.00273379	0.00353073	0.00417357	0.00470306	0.00514674	0.00552393	0.00584851	0.00613078	0.00637851	0.00659767	0.00679294	0.00696801	0.00712587	0.00726894	0.00739920	0.00751830	0.00762761	0.00772830	0.00782135
3.82352941	0.00034467	0.00163282	0.00261215	0.00338183	0.00400268	0.00451405	0.00494256	0.00530684	0.00562032	0.00589293	0.00613219	0.00634385	0.00653243	0.00670152	0.00685398	0.00699215	0.00711796	0.00723298	0.00733856	0.00743580	0.00752566
3.92156863	0.00030812	0.00155197	0.00249763	0.00324085	0.00384034	0.00433413	0.00474790	0.00509965	0.00540236	0.00566560	0.00589662	0.00610101	0.00628311	0.00644638	0.00659359	0.00672702	0.00684849	0.00695956	0.00706151	0.00715541	0.00724218
