# FRET lines for multiple WLC (unfolded) configurations
# Gaussian (folded): R_mean=35.0 Å, sigma=4.0 Å
# tau_D0=4.00 ns, R0=52.0 Å, kappa2=0.66667
#
# Lp_A	Lc_A	fraction_unfolded	E_FRET	tau_species_avg_ns
60.0	100.0	0.350000	0.805295	0.778819
60.0	100.0	0.400000	0.790409	0.838363
60.0	100.0	0.450000	0.775523	0.897906
60.0	100.0	0.500000	0.760637	0.957450
60.0	100.0	0.550000	0.745752	1.016994
60.0	100.0	0.600000	0.730866	1.076538
60.0	100.0	0.650000	0.715980	1.136081
60.0	100.0	0.700000	0.701094	1.195625
60.0	100.0	0.750000	0.686208	1.255169
60.0	100.0	0.800000	0.671322	1.314712
60.0	100.0	0.850000	0.656436	1.374256
60.0	100.0	0.900000	0.641550	1.433800
60.0	100.0	0.950000	0.626664	1.493343
60.0	100.0	1.000000	0.611778	1.552887
60.0	120.0	0.000000	0.909497	0.362013
60.0	120.0	0.050000	0.898232	0.407071
60.0	120.0	0.100000	0.886968	0.452129
60.0	120.0	0.150000	0.875703	0.497187
60.0	120.0	0.200000	0.864439	0.542244
60.0	120.0	0.250000	0.853174	0.587302
60.0	120.0	0.300000	0.841910	0.632360
60.0	120.0	0.350000	0.830646	0.677418
60.0	120.0	0.400000	0.819381	0.722475
60.0	120.0	0.450000	0.808117	0.767533
60.0	120.0	0.500000	0.796852	0.812591
60.0	120.0	0.550000	0.785588	0.857649
60.0	120.0	0.600000	0.774323	0.902706
60.0	120.0	0.650000	0.763059	0.947764
60.0	120.0	0.700000	0.751795	0.992822
60.0	120.0	0.750000	0.740530	1.037880
60.0	120.0	0.800000	0.729266	1.082937
60.0	120.0	0.850000	0.718001	1.127995
60.0	120.0	0.900000	0.706737	1.173053
60.0	120.0	0.950000	0.695472	1.218111
60.0	120.0	1.000000	0.684208	1.263168
80.0	60.0	0.000000	0.909497	0.362013
80.0	60.0	0.050000	0.895085	0.419661
80.0	60.0	0.100000	0.880673	0.477308
80.0	60.0	0.150000	0.866261	0.534955
80.0	60.0	0.200000	0.851849	0.592603
80.0	60.0	0.250000	0.837437	0.650250
80.0	60.0	0.300000	0.823026	0.707898
80.0	60.0	0.350000	0.808614	0.765545
80.0	60.0	0.400000	0.794202	0.823192
80.0	60.0	0.450000	0.779790	0.880840
80.0	60.0	0.500000	0.765378	0.938487
80.0	60.0	0.550000	0.750966	0.996134
80.0	60.0	0.600000	0.736555	1.053782
80.0	60.0	0.650000	0.722143	1.111429
80.0	60.0	0.700000	0.707731	1.169077
80.0	60.0	0.750000	0.693319	1.226724
80.0	60.0	0.800000	0.678907	1.284371
80.0	60.0	0.850000	0.664495	1.342019
80.0	60.0	0.900000	0.650083	1.399666
80.0	60.0	0.950000	0.635672	1.457313
80.0	60.0	1.000000	0.621260	1.514961
80.0	80.0	0.000000	0.909497	0.362013
80.0	80.0	0.050000	0.883456	0.466177
80.0	80.0	0.100000	0.857415	0.570341
80.0	80.0	0.150000	0.831374	0.674504
80.0	80.0	0.200000	0.805333	0.778668
80.0	80.0	0.250000	0.779292	0.882831
