Filename	Mean	SD	Kurtosis	Skewness
W:\Projects\MFIS\Linker\Simulation\Systematic_TP\02_170228\74\out\run_2.h5_out	170.859632805	39.5323160827	0.0163972670976	-0.669918511856
W:\Projects\MFIS\Linker\Simulation\Systematic_TP\02_170228\74\out\run_3.h5_out	167.730630476	38.0080236639	0.0666691981231	-0.690435129855
W:\Projects\MFIS\Linker\Simulation\Systematic_TP\02_170228\74\out\run_4.h5_out	168.500504496	37.7200544198	0.0459836302816	-0.662287658229
W:\Projects\MFIS\Linker\Simulation\Systematic_TP\02_170228\74\out\run_1.h5_out	167.172350003	38.3375971179	0.00298475047381	-0.680405675232
