0	5
0.008	7
0.016	5
0.024	4
0.032	7
0.04	7
0.048	8
0.056	7
0.064	9
0.072	1
0.08	3
0.088	2
0.096	3
0.104	6
0.112	7
0.12	6
0.128	9
0.136	5
0.144	7
0.152	2
0.16	4
0.168	8
0.176	5
0.184	8
0.192	6
0.2	7
0.208	5
0.216	3
0.224	4
0.232	7
0.24	5
0.248	5
0.256	4
0.264	6
0.272	5
0.28	7
0.288	1
0.296	2
0.304	4
0.312	7
0.32	6
0.328	6
0.336	8
0.344	9
0.352	7
0.36	10
0.368	10
0.376	3
0.384	2
0.392	9
0.4	3
0.408	12
0.416	6
0.424	5
0.432	3
0.44	1
0.448	6
0.456	7
0.464	7
0.472	4
0.48	5
0.488	7
0.496	4
0.504	12
0.512	9
0.52	4
0.528	7
0.536	4
0.544	3
0.552	5
0.56	4
0.568	4
0.576	12
0.584	5
0.592	4
0.6	5
0.608	2
0.616	4
0.624	3
0.632	5
0.64	3
0.648	4
0.656	2
0.664	9
0.672	3
0.68	7
0.688	5
0.696	6
0.704	4
0.712	6
0.72	3
0.728	6
0.736	6
0.744	3
0.752	6
0.76	3
0.768	7
0.776	5
0.784	8
0.792	7
0.8	2
0.808	6
0.816	7
0.824	2
0.832	1
0.84	9
0.848	1
0.856	5
0.864	5
0.872	6
0.88	5
0.888	3
0.896	3
0.904	8
0.912	9
0.92	5
0.928	5
0.936	1
0.944	4
0.952	9
0.96	2
0.968	3
0.976	9
0.984	6
0.992	4
1	5
1.008	5
1.016	4
1.024	7
1.032	7
1.04	8
1.048	7
1.056	10
1.064	8
1.072	9
1.08	3
1.088	6
1.096	7
1.104	9
1.112	4
1.12	6
1.128	8
1.136	8
1.144	4
1.152	6
1.16	5
1.168	6
1.176	7
1.184	4
1.192	4
1.2	8
1.208	4
1.216	8
1.224	7
1.232	7
1.24	2
1.248	3
1.256	6
1.264	5
1.272	3
1.28	5
1.288	6
1.296	8
1.304	2
1.312	7
1.32	3
1.328	6
1.336	2
1.344	2
1.352	7
1.36	5
1.368	9
1.376	4
1.384	5
1.392	3
1.4	4
1.408	7
1.416	5
1.424	2
1.432	5
1.44	6
1.448	7
1.456	3
1.464	8
1.472	6
1.48	2
1.488	6
1.496	2
1.504	3
1.512	8
1.52	7
1.528	8
1.536	6
1.544	3
1.552	9
1.56	4
1.568	4
1.576	5
1.584	10
1.592	4
1.6	3
1.608	7
1.616	5
1.624	6
1.632	7
1.64	5
1.648	8
1.656	4
1.664	3
1.672	7
1.68	4
1.688	3
1.696	5
1.704	2
1.712	4
1.72	6
1.728	12
1.736	7
1.744	4
1.752	2
1.76	9
1.768	5
1.776	8
1.784	5
1.792	4
1.8	3
1.808	1
1.816	6
1.824	4
1.832	5
1.84	4
1.848	8
1.856	3
1.864	9
1.872	11
1.88	6
1.888	6
1.896	6
1.904	5
1.912	8
1.92	9
1.928	3
1.936	2
1.944	9
1.952	9
1.96	4
1.968	7
1.976	3
1.984	5
1.992	8
2	4
2.008	4
2.016	4
2.024	7
2.032	8
2.04	4
2.048	4
2.056	4
2.064	4
2.072	4
2.08	4
2.088	4
2.096	1
2.104	5
2.112	4
2.12	2
2.128	2
2.136	3
2.144	3
2.152	5
2.16	9
2.168	2
2.176	2
2.184	11
2.192	4
2.2	6
2.208	8
2.216	4
2.224	9
2.232	9
2.24	4
2.248	5
