0	0
0.008	0
0.016	0
0.024	1
0.032	1
0.04	0
0.048	0
0.056	0
0.064	0
0.072	1
0.08	0
0.088	1
0.096	0
0.104	2
0.112	1
0.12	0
0.128	0
0.136	1
0.144	0
0.152	0
0.16	1
0.168	0
0.176	0
0.184	0
0.192	2
0.2	1
0.208	2
0.216	0
0.224	1
0.232	0
0.24	0
0.248	1
0.256	2
0.264	0
0.272	0
0.28	1
0.288	1
0.296	0
0.304	0
0.312	1
0.32	0
0.328	1
0.336	1
0.344	1
0.352	1
0.36	1
0.368	0
0.376	1
0.384	0
0.392	0
0.4	0
0.408	0
0.416	0
0.424	0
0.432	0
0.44	0
0.448	0
0.456	0
0.464	2
0.472	2
0.48	0
0.488	1
0.496	2
0.504	0
0.512	0
0.52	0
0.528	0
0.536	3
0.544	0
0.552	0
0.56	0
0.568	1
0.576	1
0.584	1
0.592	0
0.6	0
0.608	1
0.616	0
0.624	0
0.632	0
0.64	0
0.648	0
0.656	0
0.664	0
0.672	0
0.68	0
0.688	0
0.696	0
0.704	0
0.712	1
0.72	0
0.728	0
0.736	1
0.744	0
0.752	1
0.76	1
0.768	1
0.776	0
0.784	0
0.792	0
0.8	0
0.808	0
0.816	1
0.824	1
0.832	2
0.84	1
0.848	0
0.856	0
0.864	0
0.872	0
0.88	1
0.888	1
0.896	0
0.904	0
0.912	0
0.92	0
0.928	0
0.936	0
0.944	0
0.952	0
0.96	1
0.968	1
0.976	2
0.984	0
0.992	1
1	1
1.008	1
1.016	1
1.024	0
1.032	0
1.04	0
1.048	3
1.056	0
1.064	0
1.072	1
1.08	1
1.088	0
1.096	0
1.104	0
1.112	0
1.12	0
1.128	0
1.136	1
1.144	0
1.152	2
1.16	0
1.168	0
1.176	0
1.184	2
1.192	1
1.2	0
1.208	1
1.216	0
1.224	0
1.232	1
1.24	0
1.248	2
1.256	0
1.264	1
1.272	0
1.28	0
1.288	0
1.296	0
1.304	0
1.312	0
1.32	1
1.328	1
1.336	1
1.344	0
1.352	0
1.36	1
1.368	0
1.376	1
1.384	1
1.392	3
1.4	0
1.408	0
1.416	0
1.424	1
1.432	1
1.44	0
1.448	1
1.456	0
1.464	0
1.472	2
1.48	0
1.488	0
1.496	0
1.504	1
1.512	0
1.52	0
1.528	1
1.536	0
1.544	1
1.552	0
1.56	0
1.568	0
1.576	1
1.584	0
1.592	0
1.6	1
1.608	0
1.616	1
1.624	1
1.632	0
1.64	2
1.648	0
1.656	2
1.664	0
1.672	0
1.68	1
1.688	0
1.696	0
1.704	1
1.712	1
1.72	0
1.728	0
1.736	0
1.744	0
1.752	0
1.76	0
1.768	0
1.776	0
1.784	1
1.792	1
1.8	0
