d[A]	CH	ON	OH	CN
2.445	25.1247	48.6811	-25.1247	-4.8616
2.455	25.0224	47.9723	-25.0224	-6.4285
2.465	24.9209	47.2949	-24.9209	-7.9053
2.475	24.8202	46.6473	-24.8202	-9.2969
2.485	24.7203	46.0279	-24.7203	-10.6082
2.495	24.6212	45.435	-24.6212	-11.8437
2.505	24.5229	44.8673	-24.5229	-13.0077
2.515	24.4254	44.3233	-24.4254	-14.1042
2.525	24.3287	43.8019	-24.3287	-15.137
2.535	24.2327	43.3017	-24.2327	-16.1095
2.545	24.1375	42.8217	-24.1375	-17.0253
2.555	24.043	42.3608	-24.043	-17.8873
2.565	23.9493	41.918	-23.9493	-18.6986
2.575	23.8563	41.4923	-23.8563	-19.462
2.585	23.764	41.0829	-23.764	-20.1801
2.595	23.6724	40.6888	-23.6724	-20.8554
2.605	23.5816	40.3093	-23.5816	-21.4903
2.615	23.4914	39.9437	-23.4914	-22.0869
2.625	23.4019	39.5912	-23.4019	-22.6473
2.635	23.3131	39.2511	-23.3131	-23.1736
2.645	23.2249	38.9229	-23.2249	-23.6674
2.655	23.1375	38.606	-23.1375	-24.1307
2.665	23.0506	38.2997	-23.0506	-24.5651
2.675	22.9645	38.0036	-22.9645	-24.972
2.685	22.8789	37.7171	-22.8789	-25.3531
2.695	22.794	37.4397	-22.794	-25.7096
2.705	22.7098	37.1711	-22.7098	-26.043
2.715	22.6261	36.9108	-22.6261	-26.3543
2.725	22.5431	36.6584	-22.5431	-26.6449
2.735	22.4607	36.4134	-22.4607	-26.9158
2.745	22.3789	36.1757	-22.3789	-27.1681
2.755	22.2976	35.9447	-22.2976	-27.4027
2.765	22.217	35.7203	-22.217	-27.6206
2.775	22.1369	35.502	-22.1369	-27.8227
2.785	22.0574	35.2897	-22.0574	-28.0099
2.795	21.9785	35.083	-21.9785	-28.1828
2.805	21.9002	34.8816	-21.9002	-28.3423
2.815	21.8224	34.6854	-21.8224	-28.4891
2.825	21.7451	34.4941	-21.7451	-28.6239
2.835	21.6684	34.3074	-21.6684	-28.7472
2.845	21.5923	34.1252	-21.5923	-28.8597
2.855	21.5166	33.9473	-21.5166	-28.962
2.865	21.4415	33.7735	-21.4415	-29.0546
2.875	21.3669	33.6036	-21.3669	-29.138
2.885	21.2929	33.4374	-21.2929	-29.2127
2.895	21.2193	33.2748	-21.2193	-29.2792
2.905	21.1463	33.1156	-21.1463	-29.3378
2.915	21.0737	32.9597	-21.0737	-29.3891
2.925	21.0017	32.8069	-21.0017	-29.4334
2.935	20.9301	32.6572	-20.9301	-29.471
2.945	20.8591	32.5103	-20.8591	-29.5024
2.955	20.7885	32.3662	-20.7885	-29.5278
2.965	20.7184	32.2248	-20.7184	-29.5476
2.975	20.6487	32.0859	-20.6487	-29.5621
2.985	20.5795	31.9495	-20.5795	-29.5715
2.995	20.5108	31.8155	-20.5108	-29.5761
3.005	20.4426	31.6837	-20.4426	-29.5763
3.015	20.3748	31.5541	-20.3748	-29.5721
3.025	20.3074	31.4266	-20.3074	-29.564
3.035	20.2405	31.3011	-20.2405	-29.552
3.045	20.174	31.1776	-20.174	-29.5363
3.055	20.108	31.0559	-20.108	-29.5173
3.065	20.0424	30.9361	-20.0424	-29.495
3.075	19.9772	30.818	-19.9772	-29.4697
3.085	19.9125	30.7015	-19.9125	-29.4415
3.095	19.8481	30.5867	-19.8481	-29.4106
3.105	19.7842	30.4735	-19.7842	-29.3771
3.115	19.7207	30.3617	-19.7207	-29.3412
3.125	19.6576	30.2515	-19.6576	-29.3029
3.135	19.5949	30.1426	-19.5949	-29.2626
3.145	19.5326	30.0351	-19.5326	-29.2202
3.155	19.4707	29.929	-19.4707	-29.1758
3.165	19.4091	29.8241	-19.4091	-29.1297
3.175	19.348	29.7204	-19.348	-29.0819
3.185	19.2873	29.618	-19.2873	-29.0324
3.195	19.2269	29.5167	-19.2269	-28.9815
3.205	19.1669	29.4165	-19.1669	-28.9292
3.215	19.1073	29.3175	-19.1073	-28.8755
3.225	19.048	29.2195	-19.048	-28.8206
3.235	18.9892	29.1225	-18.9892	-28.7645
3.245	18.9306	29.0266	-18.9306	-28.7073
3.255	18.8725	28.9316	-18.8725	-28.6492
3.265	18.8147	28.8375	-18.8147	-28.59
3.275	18.7572	28.7444	-18.7572	-28.53
3.285	18.7001	28.6522	-18.7001	-28.4692
3.295	18.6434	28.5609	-18.6434	-28.4075
3.305	18.587	28.4704	-18.587	-28.3452
3.315	18.5309	28.3807	-18.5309	-28.2822
3.325	18.4752	28.2919	-18.4752	-28.2186
3.335	18.4198	28.2038	-18.4198	-28.1544
3.345	18.3647	28.1165	-18.3647	-28.0897
3.355	18.31	28.03	-18.31	-28.0245
3.365	18.2556	27.9442	-18.2556	-27.9589
3.375	18.2015	27.8591	-18.2015	-27.8929
3.385	18.1477	27.7747	-18.1477	-27.8265
3.395	18.0942	27.691	-18.0942	-27.7598
3.405	18.0411	27.6079	-18.0411	-27.6928
3.415	17.9883	27.5256	-17.9883	-27.6255
3.425	17.9358	27.4438	-17.9358	-27.558
3.435	17.8835	27.3627	-17.8835	-27.4902
3.445	17.8316	27.2822	-17.8316	-27.4223
3.455	17.78	27.2023	-17.78	-27.3543
3.465	17.7287	27.123	-17.7287	-27.2861
3.475	17.6777	27.0443	-17.6777	-27.2178
3.485	17.627	26.9661	-17.627	-27.1494
3.495	17.5765	26.8885	-17.5765	-27.0809
3.505	17.5264	26.8114	-17.5264	-27.0124
3.515	17.4765	26.7349	-17.4765	-26.9439
3.525	17.4269	26.6589	-17.4269	-26.8753
3.535	17.3776	26.5835	-17.3776	-26.8068
3.545	17.3286	26.5085	-17.3286	-26.7383
3.555	17.2799	26.434	-17.2799	-26.6698
3.565	17.2314	26.3601	-17.2314	-26.6014
3.575	17.1832	26.2866	-17.1832	-26.533
3.585	17.1353	26.2136	-17.1353	-26.4647
3.595	17.0876	26.141	-17.0876	-26.3965
3.605	17.0402	26.0689	-17.0402	-26.3284
3.615	16.9931	25.9973	-16.9931	-26.2604
3.625	16.9462	25.9261	-16.9462	-26.1925
3.635	16.8996	25.8554	-16.8996	-26.1248
3.645	16.8532	25.7851	-16.8532	-26.0572
3.655	16.8071	25.7152	-16.8071	-25.9897
3.665	16.7612	25.6457	-16.7612	-25.9224
3.675	16.7156	25.5767	-16.7156	-25.8552
3.685	16.6703	25.5081	-16.6703	-25.7883
3.695	16.6252	25.4398	-16.6252	-25.7215
3.705	16.5803	25.372	-16.5803	-25.6549
3.715	16.5357	25.3046	-16.5357	-25.5884
3.725	16.4913	25.2375	-16.4913	-25.5222
3.735	16.4471	25.1709	-16.4471	-25.4562
3.745	16.4032	25.1046	-16.4032	-25.3903
3.755	16.3595	25.0387	-16.3595	-25.3247
3.765	16.3161	24.9732	-16.3161	-25.2593
3.775	16.2728	24.908	-16.2728	-25.1941
3.785	16.2298	24.8432	-16.2298	-25.1292
3.795	16.1871	24.7787	-16.1871	-25.0644
3.805	16.1445	24.7146	-16.1445	-24.9999
3.815	16.1022	24.6509	-16.1022	-24.9357
3.825	16.0601	24.5875	-16.0601	-24.8716
3.835	16.0182	24.5244	-16.0182	-24.8078
3.845	15.9766	24.4617	-15.9766	-24.7442
3.855	15.9351	24.3993	-15.9351	-24.6809
3.865	15.8939	24.3373	-15.8939	-24.6178
3.875	15.8529	24.2755	-15.8529	-24.555
3.885	15.8121	24.2141	-15.8121	-24.4924
3.895	15.7715	24.1531	-15.7715	-24.43
3.905	15.7311	24.0923	-15.7311	-24.3679
3.915	15.6909	24.0318	-15.6909	-24.3061
3.925	15.6509	23.9717	-15.6509	-24.2445
3.935	15.6112	23.9119	-15.6112	-24.1832
3.945	15.5716	23.8523	-15.5716	-24.1221
3.955	15.5322	23.7931	-15.5322	-24.0612
3.965	15.4931	23.7342	-15.4931	-24.0007
3.975	15.4541	23.6756	-15.4541	-23.9403
3.985	15.4153	23.6172	-15.4153	-23.8803
3.995	15.3767	23.5592	-15.3767	-23.8204
4.005	15.3383	23.5014	-15.3383	-23.7609
4.015	15.3001	23.444	-15.3001	-23.7016
4.025	15.2621	23.3868	-15.2621	-23.6425
4.035	15.2243	23.3299	-15.2243	-23.5838
4.045	15.1866	23.2732	-15.1866	-23.5252
4.055	15.1492	23.2169	-15.1492	-23.4669
4.065	15.1119	23.1608	-15.1119	-23.4089
4.075	15.0748	23.105	-15.0748	-23.3511
4.085	15.0379	23.0495	-15.0379	-23.2936
4.095	15.0012	22.9942	-15.0012	-23.2364
4.105	14.9647	22.9392	-14.9647	-23.1794
4.115	14.9283	22.8845	-14.9283	-23.1226
4.125	14.8921	22.83	-14.8921	-23.0661
4.135	14.8561	22.7758	-14.8561	-23.0099
4.145	14.8203	22.7218	-14.8203	-22.9539
4.155	14.7846	22.6681	-14.7846	-22.8981
4.165	14.7491	22.6147	-14.7491	-22.8426
4.175	14.7138	22.5615	-14.7138	-22.7874
4.185	14.6786	22.5085	-14.6786	-22.7324
4.195	14.6436	22.4558	-14.6436	-22.6776
4.205	14.6088	22.4033	-14.6088	-22.6231
4.215	14.5741	22.3511	-14.5741	-22.5689
4.225	14.5396	22.2991	-14.5396	-22.5148
4.235	14.5053	22.2474	-14.5053	-22.4611
4.245	14.4711	22.1959	-14.4711	-22.4075
4.255	14.4371	22.1446	-14.4371	-22.3543
4.265	14.4033	22.0936	-14.4033	-22.3012
4.275	14.3696	22.0428	-14.3696	-22.2484
4.285	14.336	21.9922	-14.336	-22.1958
4.295	14.3027	21.9419	-14.3027	-22.1435
4.305	14.2694	21.8917	-14.2694	-22.0914
4.315	14.2364	21.8418	-14.2364	-22.0396
4.325	14.2035	21.7922	-14.2035	-21.9879
4.335	14.1707	21.7427	-14.1707	-21.9365
4.345	14.1381	21.6935	-14.1381	-21.8854
4.355	14.1056	21.6445	-14.1056	-21.8345
4.365	14.0733	21.5957	-14.0733	-21.7838
4.375	14.0411	21.5472	-14.0411	-21.7333
4.385	14.0091	21.4988	-14.0091	-21.683
4.395	13.9772	21.4507	-13.9772	-21.633
4.405	13.9455	21.4027	-13.9455	-21.5832
4.415	13.9139	21.355	-13.9139	-21.5337
4.425	13.8825	21.3075	-13.8825	-21.4843
4.435	13.8512	21.2602	-13.8512	-21.4352
4.445	13.82	21.2131	-13.82	-21.3863
4.455	13.789	21.1662	-13.789	-21.3376
4.465	13.7581	21.1195	-13.7581	-21.2891
4.475	13.7274	21.0731	-13.7274	-21.2409
4.485	13.6968	21.0268	-13.6968	-21.1928
4.495	13.6663	20.9807	-13.6663	-21.145
4.505	13.636	20.9348	-13.636	-21.0974
4.515	13.6057	20.8891	-13.6057	-21.05
4.525	13.5757	20.8436	-13.5757	-21.0028
4.535	13.5457	20.7983	-13.5457	-20.9558
4.545	13.5159	20.7532	-13.5159	-20.9091
4.555	13.4863	20.7083	-13.4863	-20.8625
4.565	13.4567	20.6636	-13.4567	-20.8161
4.575	13.4273	20.6191	-13.4273	-20.77
4.585	13.398	20.5747	-13.398	-20.724
4.595	13.3689	20.5306	-13.3689	-20.6783
4.605	13.3398	20.4866	-13.3398	-20.6328
4.615	13.3109	20.4428	-13.3109	-20.5874
4.625	13.2822	20.3992	-13.2822	-20.5423
4.635	13.2535	20.3558	-13.2535	-20.4973
4.645	13.225	20.3125	-13.225	-20.4526
4.655	13.1966	20.2695	-13.1966	-20.408
4.665	13.1683	20.2266	-13.1683	-20.3636
4.675	13.1401	20.1839	-13.1401	-20.3195
4.685	13.1121	20.1414	-13.1121	-20.2755
4.695	13.0841	20.099	-13.0841	-20.2317
4.705	13.0563	20.0568	-13.0563	-20.1881
4.715	13.0286	20.0148	-13.0286	-20.1447
4.725	13.001	19.973	-13.001	-20.1014
4.735	12.9736	19.9314	-12.9736	-20.0584
4.745	12.9463	19.8899	-12.9463	-20.0155
4.755	12.919	19.8486	-12.919	-19.9729
4.765	12.8919	19.8074	-12.8919	-19.9304
4.775	12.8649	19.7664	-12.8649	-19.8881
4.785	12.838	19.7256	-12.838	-19.8459
4.795	12.8113	19.685	-12.8113	-19.804
4.805	12.7846	19.6445	-12.7846	-19.7622
4.815	12.758	19.6041	-12.758	-19.7206
4.825	12.7316	19.564	-12.7316	-19.6792
4.835	12.7053	19.524	-12.7053	-19.638
4.845	12.679	19.4841	-12.679	-19.5969
4.855	12.6529	19.4445	-12.6529	-19.556
4.865	12.6269	19.4049	-12.6269	-19.5153
4.875	12.601	19.3656	-12.601	-19.4747
4.885	12.5752	19.3264	-12.5752	-19.4343
4.895	12.5495	19.2873	-12.5495	-19.3941
4.905	12.5239	19.2484	-12.5239	-19.3541
4.915	12.4985	19.2097	-12.4985	-19.3142
4.925	12.4731	19.1711	-12.4731	-19.2745
4.935	12.4478	19.1327	-12.4478	-19.2349
4.945	12.4226	19.0944	-12.4226	-19.1956
4.955	12.3976	19.0562	-12.3976	-19.1563
4.965	12.3726	19.0182	-12.3726	-19.1173
4.975	12.3477	18.9804	-12.3477	-19.0784
4.985	12.323	18.9427	-12.323	-19.0396
4.995	12.2983	18.9052	-12.2983	-19.001
5.005	12.2737	18.8678	-12.2737	-18.9626
5.015	12.2492	18.8305	-12.2492	-18.9243
5.025	12.2249	18.7934	-12.2249	-18.8862
5.035	12.2006	18.7565	-12.2006	-18.8483
5.045	12.1764	18.7196	-12.1764	-18.8105
5.055	12.1523	18.683	-12.1523	-18.7728
5.065	12.1283	18.6464	-12.1283	-18.7353
5.075	12.1044	18.61	-12.1044	-18.698
5.085	12.0806	18.5738	-12.0806	-18.6608
5.095	12.0569	18.5377	-12.0569	-18.6237
5.105	12.0333	18.5017	-12.0333	-18.5868
5.115	12.0098	18.4658	-12.0098	-18.5501
5.125	11.9863	18.4301	-11.9863	-18.5135
5.135	11.963	18.3946	-11.963	-18.477
5.145	11.9397	18.3591	-11.9397	-18.4407
5.155	11.9166	18.3238	-11.9166	-18.4046
5.165	11.8935	18.2886	-11.8935	-18.3685
5.175	11.8705	18.2536	-11.8705	-18.3326
5.185	11.8476	18.2187	-11.8476	-18.2969
5.195	11.8248	18.1839	-11.8248	-18.2613
5.205	11.8021	18.1493	-11.8021	-18.2258
5.215	11.7795	18.1148	-11.7795	-18.1905
5.225	11.7569	18.0804	-11.7569	-18.1553
5.235	11.7345	18.0462	-11.7345	-18.1203
5.245	11.7121	18.012	-11.7121	-18.0854
5.255	11.6898	17.978	-11.6898	-18.0506
5.265	11.6676	17.9442	-11.6676	-18.016
5.275	11.6455	17.9104	-11.6455	-17.9815
5.285	11.6235	17.8768	-11.6235	-17.9471
5.295	11.6015	17.8433	-11.6015	-17.9129
5.305	11.5796	17.8099	-11.5796	-17.8788
5.315	11.5578	17.7767	-11.5578	-17.8448
