d[A]	CH	ON	OH	CN
6.565	9.3572	14.4068	-9.3572	-14.4269
6.575	9.343	14.385	-9.343	-14.4049
6.585	9.3288	14.3632	-9.3288	-14.383
6.595	9.3146	14.3415	-9.3146	-14.3611
6.605	9.3005	14.3198	-9.3005	-14.3392
6.615	9.2865	14.2982	-9.2865	-14.3175
6.625	9.2724	14.2767	-9.2724	-14.2958
6.635	9.2585	14.2552	-9.2585	-14.2741
6.645	9.2445	14.2339	-9.2445	-14.2526
6.655	9.2306	14.2125	-9.2306	-14.2311
6.665	9.2168	14.1913	-9.2168	-14.2097
6.675	9.203	14.17	-9.203	-14.1883
6.685	9.1892	14.1489	-9.1892	-14.167
6.695	9.1755	14.1278	-9.1755	-14.1458
6.705	9.1618	14.1068	-9.1618	-14.1246
6.715	9.1482	14.0859	-9.1482	-14.1035
6.725	9.1346	14.065	-9.1346	-14.0824
6.735	9.121	14.0441	-9.121	-14.0614
6.745	9.1075	14.0234	-9.1075	-14.0405
6.755	9.094	14.0027	-9.094	-14.0197
6.765	9.0806	13.982	-9.0806	-13.9989
6.775	9.0672	13.9614	-9.0672	-13.9781
6.785	9.0538	13.9409	-9.0538	-13.9575
6.795	9.0405	13.9204	-9.0405	-13.9368
6.805	9.0272	13.9	-9.0272	-13.9163
6.815	9.0139	13.8797	-9.0139	-13.8958
6.825	9.0007	13.8594	-9.0007	-13.8754
6.835	8.9876	13.8392	-8.9876	-13.855
6.845	8.9744	13.819	-8.9744	-13.8347
6.855	8.9613	13.7989	-8.9613	-13.8145
6.865	8.9483	13.7788	-8.9483	-13.7943
6.875	8.9353	13.7588	-8.9353	-13.7741
6.885	8.9223	13.7389	-8.9223	-13.7541
6.895	8.9093	13.719	-8.9093	-13.7341
6.905	8.8964	13.6992	-8.8964	-13.7141
6.915	8.8836	13.6794	-8.8836	-13.6942
6.925	8.8708	13.6597	-8.8708	-13.6744
6.935	8.858	13.64	-8.858	-13.6546
6.945	8.8452	13.6204	-8.8452	-13.6349
6.955	8.8325	13.6009	-8.8325	-13.6152
6.965	8.8198	13.5814	-8.8198	-13.5956
6.975	8.8072	13.562	-8.8072	-13.5761
6.985	8.7946	13.5426	-8.7946	-13.5566
6.995	8.782	13.5233	-8.782	-13.5371
7.005	8.7694	13.504	-8.7694	-13.5177
7.015	8.7569	13.4848	-8.7569	-13.4984
7.025	8.7445	13.4657	-8.7445	-13.4792
7.035	8.732	13.4466	-8.732	-13.4599
7.045	8.7197	13.4275	-8.7197	-13.4408
7.055	8.7073	13.4085	-8.7073	-13.4217
7.065	8.695	13.3896	-8.695	-13.4026
7.075	8.6827	13.3707	-8.6827	-13.3836
7.085	8.6704	13.3519	-8.6704	-13.3647
7.095	8.6582	13.3331	-8.6582	-13.3458
7.105	8.646	13.3143	-8.646	-13.327
7.115	8.6339	13.2957	-8.6339	-13.3082
7.125	8.6217	13.277	-8.6217	-13.2894
7.135	8.6097	13.2585	-8.6097	-13.2708
7.145	8.5976	13.24	-8.5976	-13.2521
