-2.7200 -3.5700 -1.7000 -1.5100 -4.8100 -2.3100 -2.4100 -4.5800 -1.3100 -4.9100 -3.9400 -1.8400 -2.0300 -1.8900 -1.8300 -2.0100 -2.3200 -4.0400 -3.8200 -3.3600
-3.5700 -5.4400 -2.4100 -2.2700 -5.8000 -3.1600 -3.6000 -5.5000 -1.9500 -5.8300 -4.9900 -2.5900 -3.0700 -2.8500 -2.5700 -2.8600 -3.1100 -4.9600 -4.9500 -4.1600
-1.7000 -2.4100 -1.2100 -1.0200 -3.4800 -1.5900 -2.3200 -3.1700 -1.6800 -3.4000 -2.5700 -1.6800 -1.3300 -1.4600 -2.2900 -1.6300 -1.8000 -2.4800 -2.8400 -2.7600
-1.5100 -2.2700 -1.0200 -0.9100 -3.5600 -1.2200 -2.1500 -3.2700 -1.8000 -3.5900 -2.8900 -1.5100 -1.2600 -1.4200 -2.2700 -1.4800 -1.7400 -2.6700 -2.9900 -2.7900
-4.8100 -5.8000 -3.4800 -3.5600 -7.2600 -4.1300 -4.7700 -6.8400 -3.3600 -7.2800 -6.5600 -3.7500 -4.2500 -4.1000 -3.9800 -4.0200 -4.2800 -6.2900 -6.1600 -5.6600
-2.3100 -3.1600 -1.5900 -1.2200 -4.1300 -2.2400 -2.1500 -3.7800 -1.1500 -4.1600 -3.3900 -1.7400 -1.8700 -1.6600 -1.7200 -1.8200 -2.0800 -3.3800 -3.4200 -3.0100
-2.4100 -3.6000 -2.3200 -2.1500 -4.7700 -2.1500 -3.0500 -4.1400 -1.3500 -4.5400 -3.9800 -2.0800 -2.2500 -1.9800 -2.1600 -2.1100 -2.4200 -3.5800 -3.9800 -3.5200
-4.5800 -5.5000 -3.1700 -3.2700 -6.8400 -3.7800 -4.1400 -6.5400 -3.0100 -7.0400 -6.0200 -3.2400 -3.7600 -3.6700 -3.6300 -3.5200 -4.0300 -6.0500 -5.7800 -5.2500
-1.3100 -1.9500 -1.6800 -1.8000 -3.3600 -1.1500 -1.3500 -3.0100 -0.1200 -3.3700 -2.4800 -1.2100 -0.9700 -1.2900 -0.5900 -1.0500 -1.3100 -2.4900 -2.6900 -2.6000
-4.9100 -5.8300 -3.4000 -3.5900 -7.2800 -4.1600 -4.5400 -7.0400 -3.3700 -7.3700 -6.4100 -3.7400 -4.2000 -4.0400 -4.0300 -3.9200 -4.3400 -6.4800 -6.1400 -5.6700
-3.9400 -4.9900 -2.5700 -2.8900 -6.5600 -3.3900 -3.9800 -6.0200 -2.4800 -6.4100 -5.4600 -2.9500 -3.4500 -3.3000 -3.1200 -3.0300 -3.5100 -5.3200 -5.5500 -4.9100
-1.8400 -2.5900 -1.6800 -1.5100 -3.7500 -1.7400 -2.0800 -3.2400 -1.2100 -3.7400 -2.9500 -1.6800 -1.5300 -1.7100 -1.6400 -1.5800 -1.8800 -2.8300 -3.0700 -2.7600
-2.0300 -3.0700 -1.3300 -1.2600 -4.2500 -1.8700 -2.2500 -3.7600 -0.9700 -4.2000 -3.4500 -1.5300 -1.7500 -1.7300 -1.7000 -1.5700 -1.9000 -3.3200 -3.7300 -3.1900
-1.8900 -2.8500 -1.4600 -1.4200 -4.1000 -1.6600 -1.9800 -3.6700 -1.2900 -4.0400 -3.3000 -1.7100 -1.7300 -1.5400 -1.8000 -1.4900 -1.9000 -3.0700 -3.1100 -2.9700
-1.8300 -2.5700 -2.2900 -2.2700 -3.9800 -1.7200 -2.1600 -3.6300 -0.5900 -4.0300 -3.1200 -1.6400 -1.7000 -1.8000 -1.5500 -1.6200 -1.9000 -3.0700 -3.4100 -3.1600
-2.0100 -2.8600 -1.6300 -1.4800 -4.0200 -1.8200 -2.1100 -3.5200 -1.0500 -3.9200 -3.0300 -1.5800 -1.5700 -1.4900 -1.6200 -1.6700 -1.9600 -3.0500 -2.9900 -2.7800
-2.3200 -3.1100 -1.8000 -1.7400 -4.2800 -2.0800 -2.4200 -4.0300 -1.3100 -4.3400 -3.5100 -1.8800 -1.9000 -1.9000 -1.9000 -1.9600 -2.1200 -3.4600 -3.2200 -3.0100
-4.0400 -4.9600 -2.4800 -2.6700 -6.2900 -3.3800 -3.5800 -6.0500 -2.4900 -6.4800 -5.3200 -2.8300 -3.3200 -3.0700 -3.0700 -3.0500 -3.4600 -5.5200 -5.1800 -4.6200
-3.8200 -4.9500 -2.8400 -2.9900 -6.1600 -3.4200 -3.9800 -5.7800 -2.6900 -6.1400 -5.5500 -3.0700 -3.7300 -3.1100 -3.4100 -2.9900 -3.2200 -5.1800 -4.6600 -4.6600
-3.3600 -4.1600 -2.7600 -2.7900 -5.6600 -3.0100 -3.5200 -5.2500 -2.6000 -5.6700 -4.9100 -2.7600 -3.1900 -2.9700 -3.1600 -2.7800 -3.0100 -4.6200 -4.6600 -4.1700
