2.3204	-0.0382	5.7866	-0.2123	2.6006	-0.2042	-0.0025	-0.0155	0.0299	-0.007
2.4984	-0.0237	3.5449	-0.1299	4.4303	-0.2018	0.0968	-0.0108	0.0878	-0.0058
2.2823	-0.0245	6.3367	-0.1459	3.964	-0.1815	0.0491	-0.0077	0.0801	-0.0039
2.5919	-0.015	4.4859	-0.086	3.2406	-0.0926	0.0897	-0.0061	0.0664	-0.0031
2.8905	-0.0098	3.3121	-0.0548	2.3636	-0.0406	0.0749	-0.0047	0.1108	-0.0027
2.7251	-0.0125	3.777	-0.0629	2.0347	-0.0514	0.077	-0.0062	0.0679	-0.0032
1.6947	-0.0644	9.2904	-0.3832	7.5089	-1.006	0.0731	-0.017	0.0549	-0.0076
2.1346	-0.0271	4.8607	-0.1529	5.9976	-0.3578	0.1177	-0.0134	0.0438	-0.0064
2.4366	-0.01	2.1574	-0.0423	1.809	-0.0396	0.0333	-0.0077	0.1052	-0.0041
2.3359	-0.0169	2.5197	-0.0532	1.0429	-0.0498	0.2238	-0.0127	-0.1277	-0.0073
2.6047	-0.0188	3.0723	-0.0996	2.2451	-0.0899	0.0236	-0.0162	-0.0264	-0.0075
2.4471	-0.0203	2.2432	-0.077	1.6795	-0.0749	-0.0029	-0.0184	-0.0348	-0.0083
2.6269	-0.0229	1.1813	-0.1189	2.6172	-0.1455	0.296	-0.0305	0.0505	-0.0165
2.6954	-0.0165	0.7634	-0.0826	2.0433	-0.085	0.2732	-0.0286	-0.0064	-0.0152
2.5933	-0.0191	1.2819	-0.0874	2.5707	-0.1327	0.4904	-0.0332	-0.0266	-0.0175
2.5098	-0.0192	1.4061	-0.0804	1.9262	-0.0925	0.309	-0.0299	0.025	-0.0164
2.3409	-0.0323	3.357	-0.1817	3.6263	-0.2703	0.1351	-0.0245	0.0589	-0.0124
2.3694	-0.0214	1.8119	-0.1201	6.6061	-0.3758	0.2624	-0.027	0.0062	-0.013
2.7249	-0.0161	0.2712	-0.0913	8.0078	-0.2948	0.579	-0.0364	0.0115	-0.0161
2.723	-0.0228	3.332	-0.1059	1.7905	-0.0759	-0.1105	-0.016	-0.019	-0.0065
