-179.50000 -179.50000   -1.55968    1.00000   -1.85308
-179.50000 -178.50000   -1.41716    1.00000   -1.85308
-179.50000 -177.50000   -1.15003    1.00000   -1.55968
-179.50000 -176.50000   -1.41716    1.00000   -1.70821
-179.50000 -175.50000   -1.22895    1.00000   -1.74016
-179.50000 -174.50000   -0.95118    1.00000   -1.85308
-179.50000 -173.50000   -1.29856    1.00000   -1.74016
-179.50000 -172.50000   -1.29856    1.00000   -2.06644
-179.50000 -171.50000   -1.29856    1.00000   -1.79931
-179.50000 -170.50000   -1.22895    1.00000   -1.87823
-179.50000 -169.50000   -1.22895    1.00000   -1.55968
-179.50000 -168.50000   -1.05893    1.00000   -2.06644
-179.50000 -167.50000   -0.81930    1.00000   -1.90236
-179.50000 -166.50000   -0.40965    1.00000   -1.90236
-179.50000 -165.50000   -0.81930    1.00000   -1.85308
-179.50000 -164.50000    0.00000    1.00000   -1.74016
-179.50000 -163.50000   -0.64928    1.00000   -1.87823
-179.50000 -162.50000   -1.15003    1.00000   -1.85308
-179.50000 -161.50000   -0.95118    1.00000   -1.74016
-179.50000 -160.50000   -0.81930    1.00000   -1.79931
-179.50000 -159.50000   -0.95118    1.00000   -1.70821
-179.50000 -158.50000   -0.64928    1.00000   -1.67443
-179.50000 -157.50000   -0.81930    1.00000   -1.85308
-179.50000 -156.50000   -0.95118    1.00000   -1.79931
-179.50000 -155.50000   -0.64928    1.00000   -1.70821
-179.50000 -154.50000   -0.95118    1.00000   -1.67443
-179.50000 -153.50000    0.00000    1.00000   -1.67443
-179.50000 -152.50000   -0.64928    1.00000   -1.82681
-179.50000 -151.50000   -0.40965    1.00000   -1.63860
-179.50000 -150.50000   -0.64928    1.00000   -1.74016
-179.50000 -149.50000   -0.40965    1.00000   -1.79931
-179.50000 -148.50000   -0.81930    1.00000   -1.70821
-179.50000 -147.50000   -0.95118    1.00000   -1.79931
-179.50000 -146.50000    0.00000    1.00000   -1.90236
-179.50000 -145.50000    0.00000    1.00000   -1.67443
-179.50000 -144.50000   -0.40965    1.00000   -1.63860
-179.50000 -143.50000    0.00000    1.00000   -1.82681
-179.50000 -142.50000   -0.40965    1.00000   -1.51589
-179.50000 -141.50000    0.00000    1.00000   -1.90236
-179.50000 -140.50000    0.00000    1.00000   -1.94784
-179.50000 -139.50000    0.00000    1.00000   -1.77048
-179.50000 -138.50000    0.00000    1.00000   -1.82681
-179.50000 -137.50000    0.00000    1.00000   -1.70821
-179.50000 -136.50000   -0.40965    1.00000   -1.67443
